#SampleID	Dataset	FullName	Acronyme	time	Site
Sp-1A	01	Sp-1A	Sp-1A	2019	bourake
Sp-1B	01	Sp-1B	Sp-1B	2019	bourake
Sp-1C	01	Sp-1C	Sp-1C	2019	bourake
Sp-2A	02	Sp-2A	Sp-2A	2019	bourake
Sp-2B	02	Sp-2B	Sp-2B	2019	bourake
Sp-2C	02	Sp-2C	Sp-2C	2019	bourake
Sp-3A	03	Sp-3A	Sp-3A	2019	bourake
Sp-3B	03	Sp-3B	Sp-3B	2019	bourake
Sp-3C	03	Sp-3C	Sp-3C	2019	bourake
Sp-4-V4	04	Sp-4-V4	Sp-4-V4	2020	bourake
Sp-5-V4	05	Sp-5-V4	Sp-5-V4	2020	bourake
Sp-6-V4	06	Sp-6-V4	Sp-6-V4	2020	bourake
Sp-4-V1V3	07	Sp-4-V1V3	Sp-4-V1V3	2020	bourake
Sp-5-V1V3	08	Sp-5-V1V3	Sp-5-V1V3	2020	bourake
Sp-6-V1V3	09	Sp-6-V1V3	Sp-6-V1V3	2020	bourake
Sp-4-V1V3V4	10	Sp-4-V1V3V4	Sp-4-V1V3V4	2020	bourake
Sp-5-V1V3V4	11	Sp-5-V1V3V4	Sp-5-V1V3V4	2020	bourake
Sp-6-V1V3V4	12	Sp-6-V1V3V4	Sp-6-V1V3V4	2020	bourake

